STATUS | wrapper  | 2013/12/18 23:51:55 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/12/18 23:51:55 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/12/18 23:51:55 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/12/18 23:51:55 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/12/18 23:51:55 | 
STATUS | wrapper  | 2013/12/18 23:51:55 | Launching a JVM...
INFO   | jvm 1    | 2013/12/18 23:51:55 | WrapperManager: Initializing...
STATUS | wrapper  | 2013/12/19 02:16:02 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2013/12/19 02:16:08 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/12/20 09:30:46 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/12/20 09:30:46 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/12/20 09:30:46 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/12/20 09:30:46 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/12/20 09:30:46 | 
STATUS | wrapper  | 2013/12/20 09:30:47 | Launching a JVM...
INFO   | jvm 1    | 2013/12/20 09:30:50 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/12/20 09:30:57 | [2013-12-20 09:30:57,499][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2013/12/30 06:12:44 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/12/30 06:12:44 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/12/30 06:12:44 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/12/30 06:12:44 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/12/30 06:12:44 | 
STATUS | wrapper  | 2013/12/30 06:12:45 | Launching a JVM...
INFO   | jvm 1    | 2013/12/30 06:12:50 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/12/30 06:12:56 | [2013-12-30 06:12:56,326][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
INFO   | wrapper  | 2014/02/28 07:02:09 | The timer fell behind the system clock by 914060304ms.
STATUS | wrapper  | 2014/02/28 07:33:37 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/02/28 07:33:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/03/27 06:10:57 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/03/27 06:10:57 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/03/27 06:10:57 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/03/27 06:10:57 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/03/27 06:10:57 | 
STATUS | wrapper  | 2014/03/27 06:10:58 | Launching a JVM...
INFO   | jvm 1    | 2014/03/27 06:11:10 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/03/29 01:14:40 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/03/29 01:14:40 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/03/29 01:14:40 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/03/29 01:14:40 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/03/29 01:14:40 | 
STATUS | wrapper  | 2014/03/29 01:14:41 | Launching a JVM...
INFO   | jvm 1    | 2014/03/29 01:14:53 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/04/03 16:40:59 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/04/03 16:40:59 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/04/03 16:40:59 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/04/03 16:40:59 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/04/03 16:40:59 | 
STATUS | wrapper  | 2014/04/03 16:41:00 | Launching a JVM...
INFO   | jvm 1    | 2014/04/03 16:41:11 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/04/13 01:20:28 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/04/13 01:20:28 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/04/13 01:20:28 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/04/13 01:20:28 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/04/13 01:20:28 | 
STATUS | wrapper  | 2014/04/13 01:20:28 | Launching a JVM...
INFO   | jvm 1    | 2014/04/13 01:20:46 | WrapperManager: Initializing...
INFO   | wrapper  | 2014/04/23 01:09:38 | The timer fell behind the system clock by 799232700ms.
STATUS | wrapper  | 2014/04/23 02:58:42 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/04/23 02:58:42 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/04/23 02:58:42 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/04/23 02:58:42 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/04/23 02:58:42 | 
STATUS | wrapper  | 2014/04/23 02:58:43 | Launching a JVM...
INFO   | jvm 1    | 2014/04/23 02:58:46 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/04/23 05:22:41 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/04/23 05:22:41 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/04/23 05:22:41 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/04/23 05:22:41 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/04/23 05:22:41 | 
STATUS | wrapper  | 2014/04/23 05:22:42 | Launching a JVM...
INFO   | jvm 1    | 2014/04/23 05:22:43 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/04/24 04:16:33 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/04/24 04:16:33 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/04/24 04:16:33 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/04/24 04:16:33 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/04/24 04:16:33 | 
STATUS | wrapper  | 2014/04/24 04:16:34 | Launching a JVM...
INFO   | jvm 1    | 2014/04/24 04:16:38 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/05/13 19:17:54 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/13 19:17:54 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/13 19:17:54 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/13 19:17:54 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/13 19:17:54 | 
STATUS | wrapper  | 2014/05/13 19:17:55 | Launching a JVM...
INFO   | jvm 1    | 2014/05/13 19:18:00 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/05/18 20:18:06 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/05/18 20:18:29 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/05/18 20:20:20 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/18 20:20:20 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/18 20:20:20 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/18 20:20:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/18 20:20:20 | 
STATUS | wrapper  | 2014/05/18 20:20:20 | Launching a JVM...
INFO   | jvm 1    | 2014/05/18 20:20:22 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/05/18 22:49:04 | TERM trapped.  Shutting down.
ERROR  | wrapper  | 2014/05/18 22:49:59 | Shutdown failed: Timed out waiting for the JVM to terminate.
ERROR  | wrapper  | 2014/05/18 22:50:00 | JVM did not exit on request, terminated
STATUS | wrapper  | 2014/05/18 22:54:39 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/05/18 22:54:39 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2014/05/18 22:54:39 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/05/18 22:54:39 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/05/18 22:54:39 | 
STATUS | wrapper  | 2014/05/18 22:54:41 | Launching a JVM...
INFO   | jvm 1    | 2014/05/18 22:55:05 | WrapperManager: Initializing...
STATUS | wrapper  | 2014/05/19 02:29:00 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2014/05/19 02:29:17 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/05/19 02:31:15 | --> Wrapper Started as Daemon
