WARN   | wrapper  | 2013/12/18 23:42:36 | Unable to write to the configured log directory: /usr/local/share/elasticsearch/logs (No such file or directory)
WARN   | wrapper  | 2013/12/18 23:42:36 |   The directory does not exist.
WARN   | wrapper  | 2013/12/18 23:42:36 | Unable to write to the configured log file: /usr/local/share/elasticsearch/logs/service.log (No such file or directory)
WARN   | wrapper  | 2013/12/18 23:42:36 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2013/12/18 23:42:36 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/12/18 23:42:36 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/12/18 23:42:36 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/12/18 23:42:36 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/12/18 23:42:36 | 
STATUS | wrapper  | 2013/12/18 23:42:36 | Launching a JVM...
INFO   | jvm 1    | 2013/12/18 23:42:36 | WrapperManager: Initializing...
STATUS | wrapper  | 2013/12/18 23:42:44 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2013/12/18 23:42:45 | <-- Wrapper Stopped
